Year,Regional Site,Game,Winning Team,Runs,Seed,Losing Team,Runs,Seed
2003,Atlanta,3,East Carolina,10,3,Georgia Tech,3,1
2003,Atlanta,4,South Carolina,7,2,Stetson,2,4
2003,Atlanta,5,Stetson,9,4,East Carolina,4,3
2003,Atlanta,6,South Carolina,9,2,Stetson,3,4
2004,"Austin, TX",1,Oral Roberts,6,2,TCU,5,3
2004,"Austin, TX",2,Texas,10,1,Youngstown St.,3,4
2004,"Austin, TX",3,TCU,12,3,Youngstown St.,8,4
2004,"Austin, TX",4,Texas,7,1,Oral Roberts,5,2
2004,"Austin, TX",5,Oral Roberts,10,2,TCU,1,3
2004,"Austin, TX",6,Texas,7,1,Oral Roberts,3,2
2004,"Charlottesville, VA",1,Vanderbilt,7,2,George Mason,3,3
2004,"Charlottesville, VA",2,Princeton,4,4,Virginia,2,1
2004,"Charlottesville, VA",3,Virginia,7,1,George Mason,2,3
2004,"Charlottesville, VA",4,Vanderbilt,11,2,Princeton,1,4
2004,"Charlottesville, VA",5,Virginia,9,1,Princeton,0,4
2004,"Charlottesville, VA",6,Vanderbilt,7,2,Virginia,3,1
2004,"Fayetteville, AR",1,Wichita St.,3,2,Missouri,0,3
2004,"Fayetteville, AR",2,Arkansas,4,1,LeMoyne,1,4
2004,"Fayetteville, AR",3,Missouri,11,3,LeMoyne,3,4
2004,"Fayetteville, AR",4,Wichita St.,4,2,Arkansas,3,1
2004,"Fayetteville, AR",5,Arkansas,10,1,Missouri,7,3
2004,"Fayetteville, AR",6,Arkansas,11,1,Wichita St.,9,2
2004,"Fayetteville, AR",7,Arkansas,4,1,Wichita St.,3,2
2004,"Tallahassee, FL",1,Central Florida,7,3,Oklahoma St.,3,2
2004,"Tallahassee, FL",2,Florida St.,10,1,Bethune-Cookman,3,4
2004,"Tallahassee, FL",3,Oklahoma St.,4,2,Bethune-Cookman,0,4
2004,"Tallahassee, FL",4,Florida St.,3,1,Central Florida,2,3
2004,"Tallahassee, FL",5,Central Florida,12,3,Oklahoma St.,9,2
2004,"Tallahassee, FL",6,Central Florida,7,3,Florida St.,5,1
2004,"Tallahassee, FL",7,Florida St.,19,1,Central Florida,3,3
2004,Atlanta,1,Texas Tech,10,2,Mississippi St.,6,3
2004,Atlanta,2,Georgia Tech,16,1,Jacksonville St.,3,4
2004,Atlanta,3,Mississippi St.,7,3,Jacksonville St.,6,4
2004,Atlanta,4,Georgia Tech,9,1,Texas Tech,3,2
2004,Atlanta,5,Texas Tech,14,2,Mississippi St.,7,3
2004,Atlanta,6,Georgia Tech,5,1,Texas Tech,3,2
2004,"Athens, GA",1,Georgia,16,1,Middle Tennessee,2,4
2004,"Athens, GA",2,Clemson,10,2,Birmingham Southern,6,3
2004,"Athens, GA",3,Birmingham Southern,5,3,Middle Tennessee,0,4
2004,"Athens, GA",4,Georgia,6,1,Clemson,3,2
2004,"Athens, GA",5,Clemson,5,2,Birmingham Southern,4,3
2004,"Athens, GA",6,Clemson,10,2,Georgia,9,1
2004,"Athens, GA",7,Georgia,7,1,Clemson,6,2
2004,"Palo Alto, CA",1,Long Beach St.,4,2,St. John's,3,3
